dataset,algo,metric,k,linkage,distance_threshold,eps,min_samples,random_state,n_clusters,noise_ratio,intra_mean,inter_mean,silhouette,homogeneity,completeness,v_measure
IEEE-CIS,kmeans,euclidean,4,,,,,42,4,0.0,74.6511351068037,115.65135920728773,0.42869567117459506,0.3965887548318447,0.7892787366758423,0.5279157640042191
IEEE-CIS,kmeans,euclidean,5,,,,,42,5,0.0,92.2464131202054,161.0592905759753,0.03789095078215918,0.428836086467647,0.4107287602970086,0.4195871583814685
IEEE-CIS,kmeans,euclidean,6,,,,,42,6,0.0,76.82114653349085,144.82552462866863,0.05069849583946761,0.5020017234572256,0.4201176724139998,0.45742405278745124
IEEE-CIS,agglomerative,euclidean,2,ward,,,,,2,0.0,26.99250992396793,34.68061850817552,0.44724722216084434,0.32697112623939695,0.8510089808133534,0.47242795227258133
IEEE-CIS,agglomerative,euclidean,3,ward,,,,,3,0.0,114.70746674521735,193.02402154424294,0.4321090884252047,0.3299956574319582,0.8479821894839665,0.4751030604556438
IEEE-CIS,agglomerative,euclidean,4,ward,,,,,4,0.0,107.2710950291337,191.99573583808044,0.4201068568837464,0.33581691428056776,0.8465874783157671,0.4808818309822122
IEEE-CIS,agglomerative,euclidean,5,ward,,,,,5,0.0,99.83863383744486,234.75919487528319,0.4203589816228421,0.3358791875816618,0.845627788975747,0.4807906857820403
IEEE-CIS,agglomerative,euclidean,6,ward,,,,,6,0.0,86.86304932033391,206.9466461919664,0.42914074260378937,0.39234507259743273,0.7920697743352338,0.5247564633600988
IEEE-CIS,agglomerative,euclidean,2,complete,,,,,2,0.0,132.7423806646984,273.1287274847927,0.9229636499479381,0.0013395869318637197,0.2838958179671291,0.0026665913223093748
IEEE-CIS,agglomerative,euclidean,3,complete,,,,,3,0.0,127.35974935915256,298.4105567671693,0.9222270783116602,0.0020698735565648483,0.2847959540509461,0.004109876866290618
IEEE-CIS,agglomerative,euclidean,4,complete,,,,,4,0.0,99.45659292672002,314.6176311511431,0.91948166684651,0.002116479513716669,0.2793504152782602,0.004201129454472063
IEEE-CIS,agglomerative,euclidean,5,complete,,,,,5,0.0,99.9036035269341,324.37097877519057,0.9194454938291642,0.002412792660670938,0.26970200613906786,0.00478279772986162
IEEE-CIS,agglomerative,euclidean,6,complete,,,,,6,0.0,99.12387529498902,320.1370632529099,0.9023504394267443,0.0027890252207195734,0.270363467045323,0.0055210957227230266
IEEE-CIS,agglomerative,euclidean,2,average,,,,,2,0.0,20.658247946378392,312.35234046853276,0.9323651806421172,0.000364362813196859,0.2659944876516621,0.0007277287737687046
IEEE-CIS,agglomerative,euclidean,3,average,,,,,3,0.0,23.204125838743597,322.53020508090634,0.9218391078111259,0.0006607617266627142,0.24118827529977532,0.0013179128864628069
